ui,key,text
en,q_type_1_listen_only,Listen (kiki mashō)
ja,q_type_1_listen_only,[ruby]聞[rt]き[/rt][/ruby]き ましょう。
en,q_type_2_mcq_text,Multiple Choice (mottomo yoi kotae wo erabi mashō)
ja,q_type_2_mcq_text,[ruby]最[rt]もっと[/rt][/ruby]も [ruby]良[rt]よ[/rt][/ruby]い [ruby]答[rt]こた[/rt][/ruby]えを [ruby]選[rt]えら[/rt][/ruby]び ましょう。
en,q_type_3_mcq_image,Multiple Choice (mottomo yoi kotae wo erabi mashō)
ja,q_type_3_mcq_image,[ruby]最[rt]もっと[/rt][/ruby]も [ruby]良[rt]よ[/rt][/ruby]い [ruby]答[rt]こた[/rt][/ruby]えを [ruby]選[rt]えら[/rt][/ruby]び ましょう。
en,q_type_4_reorder_text,Ordering (narabi kae mashō)
ja,q_type_4_reorder_text,[ruby]並[rt]なら[/rt][/ruby]び [ruby]替[rt]か[/rt][/ruby]え ましょう。
en,q_type_5_reorder_image,Ordering (narabi kae mashō)
ja,q_type_5_reorder_image,[ruby]並[rt]なら[/rt][/ruby]び [ruby]替[rt]か[/rt][/ruby]え ましょう。
en,q_type_6_input,Type (moji wo nyūryoku shi mashō)
ja,q_type_6_input,[ruby]文字[rt]もじ[/rt][/ruby]を [ruby]入力[rt]にゅうりょく[/rt][/ruby]し ましょう。
en,q_type_7_fill_in_the_blank,Fill in the Blank (ana wo ume mashō)
ja,q_type_7_fill_in_the_blank,[ruby]穴[rt]あな[/rt][/ruby]を [ruby]埋[rt]う[/rt][/ruby]め ましょう。
en,q_type_8_matching,Matching (kumi awase mashō)
ja,q_type_8_matching,[ruby]組[rt]く[/rt][/ruby]み [ruby]合[rt]あ[/rt][/ruby]わせ ましょう。
